appid,name,developer,genres_steam,price,release_year,metacritic_score,total_recommendations,is_free,genre,country
705740,Car Demolition Clicker,Blue Sunset Games,"Acción, Casual, Indie",0.73,2018,0,158,False,Acción,Desconocido
485500,Smithy,David Mulder,"Acción, Indie",4.99,2016,0,104,False,Acción,Desconocido
661970,SPACE BATTLE: Humanity,Crabby Team,"Casual, Indie, Estrategia",1.99,2017,0,0,False,Estrategia,Desconocido
46480,Still Life,Microids,Aventura,7.99,2011,75,867,False,Aventura,Francia
2062430,BALL x PIT,Kenny Sun and Friends,"Acción, Indie",14.99,2025,0,21193,False,Acción,Desconocido
415240,Feesh,Terrifying Jellyfish,"Acción, Casual, Indie",0.99,2016,0,119,False,Acción,Desconocido
327930,Darklands,MPS Labs,"Aventura, Rol",6.99,2014,0,211,False,Rpg,Desconocido
203160,Tomb Raider Game of the Year,Crystal Dynamics,"Acción, Aventura",19.99,2013,86,166851,False,Acción,Estados Unidos
348400,BattleLore: Command,Fantasy Flight Games,"Indie, Estrategia",6.89,2015,0,112,False,Estrategia,Estados Unidos
673190,All-Star Fruit Racing,3DClouds,"Acción, Indie, Carreras, Deportes",9.99,2018,0,176,False,Acción,Francia
3837340,FINAL FANTASY VII,Square Enix,Rol,12.99,2013,0,575,False,Acción,Japón
222900,Dead Island: Epidemic,Stunlock Studios,"Acción, Free to Play, Acceso anticipado",0.0,2014,0,337,False,Acción,Suecia
2966470,I dont Fall,PUMPKIM,"Acción, Aventura, Indie",6.89,2024,0,164,False,Acción,Desconocido
449060,Cellar,Vertical Skull Games,"Aventura, Casual, Indie",0.99,2016,0,202,False,Aventura,Desconocido
837900,Bitcoin Trader,Gamesforgames,"Casual, Indie, Simuladores",0.49,2018,0,0,False,Simulación,Desconocido
391120,The Archetype,Rafael Barreto,Aventura,4.99,2015,0,0,False,Aventura,Desconocido
604830,All Alone: VR,8bit,"Aventura, Indie",3.99,2017,0,0,False,Aventura,Desconocido
2084820,Gold Drill,Edge Games,"Casual, Indie",4.99,2022,0,0,False,Acción,Desconocido
365800,AdvertCity,VoxelStorm,"Indie, Simuladores, Estrategia",4.99,2015,0,0,False,Estrategia,Desconocido
712190,Genesis Alpha One Deluxe Edition,Radiation Blue,"Acción, Aventura, Indie, Rol, Simuladores",2.99,2020,67,1530,False,Aventura,Desconocido
582210,VRemin (Virtual Reality Theremin),hOSHI,Simuladores,0.99,2017,0,0,False,Simulación,Desconocido
806580,7th Deep,G. A. Williams,Rol,3.99,2018,0,0,False,Acción,Desconocido
547520,Rapture - World Conquest,Tundra Games Ltd,"Casual, Estrategia",0.0,2017,0,0,True,Estrategia,Desconocido
654440,Isotiles - Isometric Puzzle Game,Robert Alvarez,"Casual, Indie, Estrategia",1.99,2017,0,225,False,Estrategia,Desconocido
321920,Schein,Zeppelin Studio,"Acción, Aventura, Indie",4.99,2014,0,108,False,Acción,Desconocido
1172650,INDUSTRIA,Bleakmill,"Acción, Aventura, Indie",19.99,2021,67,2613,False,Acción,Desconocido
664610,Gelu,NedoStudio,"Casual, Indie",4.99,2017,0,0,False,Acción,Desconocido
357600,Unium,Kittehface Software,"Casual, Indie, Estrategia",1.99,2015,0,226,False,Estrategia,Desconocido
430070,Never Again,Primary Games,"Aventura, Indie",0.82,2019,0,846,False,Aventura,Desconocido
652910,Delay,Matt Frank,"Acción, Indie",1.99,2017,0,0,False,Acción,Estados Unidos
501080,Fishing: Barents Sea,Misc Games,Simuladores,19.99,2018,69,2372,False,Simulación,Desconocido
1245170,F-117A Stealth Fighter (NES edition),"MicroProse Software, Inc.",Simuladores,0.79,2020,0,0,False,Simulación,Estados Unidos
33100,Alien Shooter,Sigma Team Inc.,"Acción, Indie, Rol",4.99,2009,0,3752,False,Acción,Desconocido
837210,Doodle God: Genesis Secrets,JoyBits Ltd.,"Aventura, Casual, Indie, Simuladores",9.99,2018,0,0,False,Aventura,Desconocido
356260,Stalingrad,DTF games,Estrategia,4.99,2015,0,389,False,Estrategia,Desconocido
320140,Absolute Drift,Funselektor Labs Inc.,"Acción, Casual, Indie, Carreras, Simuladores, Deportes",4.79,2015,0,2166,False,Acción,México
709800,Hardcore ZBoy,Narko Games,"Violencia, Sangrientos, Acción, Aventura, Casual, Indie, Carreras, Deportes",0.99,2017,0,0,False,Acción,Desconocido
65980,Sid Meier's Civilization®: Beyond Earth™,Firaxis Games,Estrategia,39.99,2014,81,13895,False,Estrategia,Estados Unidos
406110,Asdivine Hearts,Exe Create Inc.,"Aventura, Casual, Indie, Rol, Estrategia",9.99,2016,0,0,False,Aventura,Japón
418460,Rising Storm 2: Vietnam,Antimatter Games,"Acción, Multijugador masivo, Simuladores, Estrategia",20.99,2017,81,42001,False,Acción,Desconocido
1149660,Seek Girl Ⅱ,DSGame,"Casual, Indie",1.99,2019,0,2402,False,Acción,Corea del Sur
32390,STAR WARS™ Jedi Knight - Mysteries of the Sith™,LucasArts,Acción,2.99,2009,0,879,False,Acción,Estados Unidos
271730,Light,Just A Pixel Ltd.,"Acción, Aventura, Indie, Estrategia",0.0,2014,49,110,False,Acción,Desconocido
418040,hocus,Yunus Ayyildiz,"Casual, Indie",0.99,2015,0,728,False,Acción,Turquía
255940,The 11th Hour,Trilobyte Games,Aventura,5.99,2013,0,156,False,Aventura,Francia
31280,Poker Night at the Inventory (2010 Original Version),Telltale Games,"Casual, Deportes",0.0,2010,71,6188,False,Deportes,Desconocido
254060,KnightShift,Reality Pump,"Rol, Estrategia",8.79,2013,0,350,False,Estrategia,Rusia
542240,TZOMPANTLI,Deathly Ideas,"Desnudos, Violencia, Acción, Indie, Acceso anticipado",8.19,2016,0,0,False,Acción,Desconocido
42210,Nancy Drew®: Secrets Can Kill REMASTERED,HeR Interactive,Aventura,19.5,2011,0,314,False,Aventura,Canadá
544530,Escape Bloody Mary,Well Told Entertainment,"Aventura, Indie, Simuladores",3.29,2016,0,0,False,Aventura,Suecia
