appid,name,developer,genres_steam,price,country,genre,release_year,metacritic_score,total_recommendations,is_free
115110,Stacking,Double Fine Productions,"Aventura, Indie",9.99,,,2012,80,952,False
3050,Xpand Rally Xtreme,Techland,Carreras,4.99,,,2008,0,367,False
307070,Memories of a Vagabond,Darkelite Studio Inc,"Aventura, Indie, Rol",29.99,,,2014,0,0,False
360510,Into the Stars,Fugitive Games,"Acción, Aventura, Indie, Simuladores, Estrategia",19.5,,,2016,61,398,False
57300,Amnesia: The Dark Descent,Frictional Games,"Acción, Aventura, Indie",19.5,,,2010,85,19942,False
846770,DYSMANTLE,10tons Ltd,"Acción, Aventura, Indie, Rol, Simuladores",19.99,,,2021,0,10720,False
607680,Popap,aqwatron,Casual,0.99,,,2017,0,0,False
38600,Faerie Solitaire,Subsoap,"Casual, Indie, Rol",1.24,,,2010,0,1356,False
703920,Bang Bang Fruit 2,Snkl Studio,"Casual, Indie",0.99,,,2017,0,0,False
449180,Meld,Axis Games,"Indie, Estrategia",4.99,,,2016,0,0,False
281450,Disciples Sacred Lands Gold,Strategy First,Estrategia,4.99,,,2014,0,363,False
368710,Power of Love,Yang Sun,"Casual, Indie, Estrategia",0.49,,,2015,0,115,False
348400,BattleLore: Command,Fantasy Flight Games,"Indie, Estrategia",6.89,,,2015,0,112,False
657790,Defense of Roman Britain,First Games Interactive,"Casual, Indie, Estrategia",4.99,,,2017,0,0,False
464080,Kyoto Colorful Days,InterOne Inc.,Aventura,9.99,,,2016,0,139,False
298850,Millennium 5 - The Battle of the Millennium,Aldorlea Games,"Aventura, Casual, Indie, Rol",9.99,,,2014,0,0,False
296730,Viktor,Shorebound Studios,"Acción, Aventura, Indie",7.79,,,2014,0,203,False
41100,Hammerfight,Konstantin Koshutin,"Acción, Indie",0.0,,,2009,0,379,True
274560,Revolution Ace,"Laser Guided Games, LLC","Acción, Aventura, Indie",4.99,,,2014,0,1473,False
245010,Deathtrap Dungeon,Desconocido,"Acción, Aventura",5.99,,,2013,0,196,False
952030,Gilded Rails,Choice of Games,"Aventura, Indie, Rol",6.89,,,2018,0,0,False
723830,Cyborg Invasion Shooter,Tero Lunkka,"Acción, Aventura, Indie",4.99,,,2017,0,0,False
291690,Empathy: Path of Whispers,Pixel Night,"Aventura, Indie",19.5,,,2017,59,162,False
377760,Fox & Flock,Smarter Games,"Casual, Indie",1.99,,,2015,0,158,False
488280,Gun Done,AZAMATIKA,"Casual, Indie",0.99,,,2016,0,571,False
33650,Puzzler World,Ideas Pad,Casual,4.99,,,2010,0,319,False
782690,Gazing from beyond,七彩绘色游戏,"Aventura, Indie, Rol",1.99,,,2018,0,483,False
399240,XNemesis,XProd Games,"Acción, Indie",0.0,,,2016,0,0,True
502140,Drayt Empire,RPG Video,"Indie, Rol",0.99,,,2016,0,104,False
31200,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,Telltale,"Aventura, Rol",12.49,,,2009,0,132,False
678190,King of Bali,King Key Games,"Aventura, Casual, Indie, Simuladores",3.99,,,2017,0,143,False
8870,BioShock Infinite,Irrational Games,Acción,29.99,,,2013,94,108095,False
523150,Mahjong World Contest (麻将),Creobit,"Casual, Indie, Deportes, Estrategia",14.79,,,2016,0,191,False
1184810,Mainframe Defenders | Defensores de Mainframe,Synthetic Domain,"Indie, Rol, Estrategia",0.49,,,2020,0,696,False
436360,Robo's World: The Zarnok Fortress,Bluish-Green Productions,"Acción, Indie",9.99,,,2016,0,0,False
537340,Guts and Glory,HakJak,"Acción, Casual, Indie, Carreras",2.95,,,2018,0,1844,False
323040,Laserlife,Choice Provisions,Indie,8.19,,,2015,0,0,False
3339780,Desktop Survivors 98,Brandon Hesslau,"Acción, Casual, Indie",4.99,,,2025,0,1246,False
496550,Noob Squad,Antonio Renna,"Acción, Casual, Indie, Multijugador masivo",0.79,,,2016,0,384,False
847660,Story: Heaven & Hell,KuKo,Aventura,0.49,,,2018,0,0,False
11330,Obulis,IonFX,"Casual, Indie",0.0,,,2009,0,523,False
630060,寇莎梅特：困世迷情 Consummate:Missing World,冷笑黑妖,"Aventura, Indie, Rol",0.99,,,2017,0,972,False
1554700,Inglorious Waifu VS Nazi Zombies,SeedWall,"Acción, Indie",1.59,,,2021,0,273,False
1762270,Obama Boss Fight,xXx_Skipper_xXx,"Acción, Indie",2.99,,,2021,0,629,False
246300,Paranormal,Matt Cohen,"Acción, Aventura, Indie, Simuladores, Acceso anticipado",8.99,,,2013,0,374,False
527820,Lifestream - A Haunting Text Adventure,Storycentric Worlds,"Aventura, Casual, Indie, Rol",2.99,,,2016,0,0,False
461620,Predynastic Egypt,Clarus Victoria,"Indie, Simuladores, Estrategia",2.43,,,2016,0,1788,False
552100,Brick Rigs,Fluppisoft GmbH,Simuladores,19.5,,,2023,0,50104,False
3314790,CloverPit,Panik Arcade,"Acción, Aventura, Indie, Simuladores, Deportes, Estrategia",7.99,,,2025,0,20479,False
448530,Square's Route,Black Death Apps Limited,Indie,3.0,,,2016,0,0,False
741770,Santa's vacation,ElZzap Software,"Acción, Aventura, Indie, Rol",0.49,,,2017,0,0,False
2502940,ヘレの海底都市計画 ～箱庭に空気を植えるSLG～,Caro Builders,"Aventura, Indie, Simuladores",13.81,,,2023,0,0,False
2555320,Повестка,Goosix Games,"Acción, Aventura, Indie, Simuladores",0.49,,,2023,0,2891,False
205230,Hell Yeah! Wrath of the Dead Rabbit,Arkedo,Acción,12.99,,,2012,64,630,False
1761780,Creepy Tale 3: Ingrid Penance,Creepy Brothers,"Aventura, Indie",9.99,,,2023,0,717,False
415610,Red Comrades Save the Galaxy: Reloaded,Buka Development,Aventura,3.99,,,2016,0,819,False
1005240,Pixel Puzzles Illustrations & Anime Jigsaw Puzzles,Pixel Puzzles,"Casual, Indie, Simuladores, Estrategia, Free to Play",0.0,,,2021,0,0,True
330470,Over The Void,Exquisite Games,Indie,3.99,,,2014,0,114,False
856210,bit Dungeon III,Kinto Games LLC,"Acción, Aventura, Indie, Multijugador masivo, Rol",8.19,,,2019,0,141,False
31930,Nancy Drew®: The White Wolf of Icicle Creek,HeR Interactive,Aventura,9.75,,,2009,73,227,False
449060,Cellar,Vertical Skull Games,"Aventura, Casual, Indie",0.99,,,2016,0,202,False
496460,Life is Feudal: Forest Village,Mindillusion,"Indie, Simuladores, Estrategia",22.99,,,2017,0,5193,False
513820,LUXIS,Dumbfounded,"Acción, Casual, Indie, Estrategia",4.99,,,2016,0,0,False
745740,Reflex,Easy game,"Acción, Casual, Indie",0.99,,,2017,0,915,False
1449560,Metro Exodus,4A Games,Acción,29.99,,,2020,85,111272,False
201790,Orcs Must Die! 2,Robot Entertainment,"Acción, Aventura, Indie, Rol, Estrategia",12.49,,,2012,83,12806,False
378850,Galagan's Island: Reprymian Rising,Skinny Jean Death Studios,"Acción, Casual, Indie, Acceso anticipado",0.49,,,2015,0,0,False
555150,The First Tree,David Wehle,"Aventura, Indie",9.75,,,2017,0,4686,False
891700,Mosaics Galore. Challenging journey,Creobit,"Acción, Aventura, Casual, Simuladores",14.79,,,2018,0,0,False
635410,The Adventurer and His Backpack,疯王子,"Aventura, Casual, Indie",2.99,,,2017,0,0,False
392780,Mondrian - Abstraction in Beauty,Lantana Games,"Casual, Indie",4.99,,,2015,0,0,False
2594020,Oxytone,OxGames,"Indie, Estrategia",1.37,,,2023,0,110,False
777880,Fluffy Horde,Turtle Juice,"Acción, Indie, Estrategia",6.0,,,2018,0,0,False
2229830,Command & Conquer™ and The Covert Operations™,Westwood Studios,"Acción, Estrategia",0.0,,,2024,0,387,False
485330,Star Drifter,Nostalgia Hound,"Acción, Casual, Indie",0.99,,,2016,0,118,False
521100,MinosMaze - The Minotaur's Labyrinth,RuVe Game Studio,"Acción, Aventura, Indie",4.99,,,2017,0,0,False
455200,The Battle for Sector 219,Large Visible Machine,"Indie, Estrategia",6.99,,,2016,0,0,False
1502190,From Space,Triangle Studios,"Acción, Indie",3.74,,,2022,0,1416,False
35700,Trine Enchanted Edition,Frozenbyte,"Acción, Aventura, Indie",2.99,,,2009,80,12645,False
586680,Awakening: The Golden Age Collector's Edition,Boomzap Entertainment,"Aventura, Casual",19.5,,,2017,0,0,False
258890,Type:Rider,Ex Nihilo,"Acción, Aventura, Casual, Indie",4.99,,,2013,0,561,False
246900,Viscera Cleanup Detail,RuneStorm,"Indie, Simuladores",12.79,,,2015,0,17709,False
474810,Dorke and Ymp,Norse,"Acción, Aventura, Casual, Indie",3.51,,,2016,0,0,False
1474200,Sudoku RPG,RainbowStudio,"Casual, Indie, Rol",2.99,,,2021,0,301,False
405900,Disgaea PC,"Nippon Ichi Software, Inc.",Rol,19.99,,,2016,74,4233,False
70300,VVVVVV,Terry Cavanagh,"Acción, Indie",4.99,,,2010,81,6512,False
24800,Command & Conquer™ Red Alert™ 3 - Uprising,EA Los Angeles,"Acción, Estrategia, Free to Play",0.0,,,2009,64,4382,False
504770,Slavistan,Free Candy Games,"Acción, Indie, Simuladores",2.99,,,2016,0,600,False
33180,Zombie Shooter 2,Sigma Team Inc.,"Acción, Indie, Rol",9.75,,,2009,0,531,False
775900,MotoGP™18,Milestone S.r.l.,"Carreras, Simuladores, Deportes",2.24,,,2018,0,518,False
294040,Loot Hero DX,VaragtP,"Acción, Aventura, Casual, Indie, Rol",2.99,,,2015,0,330,False
226120,Weird Worlds: Return to Infinite Space,Digital Eel,"Aventura, Casual, Indie, Estrategia",3.99,,,2013,79,163,False
500440,Take the Cake,Ebenit,"Acción, Aventura, Indie",9.99,,,2017,0,0,False
201810,Wolfenstein: The New Order,MachineGames,Acción,19.99,,,2014,81,44721,False
350640,Sherlock Holmes: The Devil's Daughter,Frogwares,"Acción, Aventura",29.99,,,2016,65,11792,False
